customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
753327333,Male,0,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,3,No,Blue,106.7,7382.25,Existing Customer
806160108,Female,0,Yes,Yes,37,Yes,No,DSL,No,No,Yes,Yes,No,No,2,No,Blue,55.2,528.35,Existing Customer
709327383,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,0,Yes,Blue,90.05,1862.9,Existing Customer
806165208,Male,1,No,No,33,No,No phone service,DSL,No,No,Yes,No,No,Yes,1,Yes,Blue,39.65,39.65,Existing Customer
708508758,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,19.8,202.25,Attrited Customer
784725333,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,20.15,20.15,Existing Customer
811604133,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,2,Yes,Blue,59.9,3505.1,Existing Customer
789124683,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,Yes,No,Yes,No,No,2,No,Blue,59.6,2970.3,Existing Customer
771071958,Female,0,No,No,56,Yes,No,DSL,Yes,Yes,No,No,No,No,2,Yes,Blue,55.3,1530.6,Existing Customer
720466383,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,2,Yes,Blue,99.35,4749.15,Existing Customer
804424383,Male,0,Yes,Yes,42,No,No phone service,DSL,No,Yes,No,No,No,No,0,No,Blue,30.2,30.2,Existing Customer
718813833,Male,0,Yes,No,33,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,Blue,90.25,6369.45,Existing Customer
806624208,Female,0,No,Yes,48,Yes,No,DSL,No,No,No,No,Yes,Yes,1,Yes,Blue,64.7,1093.1,Existing Customer
778348233,Female,1,Yes,No,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,2,Yes,Blue,96.35,6766.95,Existing Customer
712991808,Male,1,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3,Yes,Blue,95.5,181.65,Existing Customer
709029408,Female,0,Yes,Yes,36,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,1,No,Blue,66.15,1874.45,Existing Customer
788658483,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,20.2,20.2,Existing Customer
787937058,Male,1,No,No,36,Yes,No,DSL,No,No,No,No,No,No,3,No,Blue,45.25,45.25,Existing Customer
715318008,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,2,No,Blue,99.9,7251.7,Existing Customer
713962233,Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,69.7,316.9,Existing Customer
785432733,Female,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,No,0,Yes,Gold,74.8,3548.3,Existing Customer
715190283,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3,Yes,Blue,106.35,3549.25,Existing Customer
708300483,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1,Yes,Blue,97.85,1105.4,Attrited Customer
827111283,Male,0,Yes,Yes,28,Yes,No,DSL,No,Yes,No,No,No,No,3,No,Blue,49.55,475.7,Existing Customer
758551608,Female,0,Yes,Yes,30,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,3,Yes,Blue,69.2,4872.35,Existing Customer
773146383,Female,0,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Silver,20.75,418.25,Existing Customer
778493808,Female,0,No,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,2,Yes,Blue,79.85,4861.45,Existing Customer
720572508,Female,0,Yes,No,40,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,3,Yes,Blue,76.2,981.45,Existing Customer
712661433,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,1,Yes,Blue,84.5,3906.7,Existing Customer
789172683,Male,0,No,No,41,Yes,No,DSL,No,Yes,No,No,No,No,2,No,Blue,49.25,97,Existing Customer
738406533,Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,1,Yes,Blue,80.65,144.15,Existing Customer
799723908,Male,0,No,No,36,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,0,Yes,Blue,79.75,4217.8,Existing Customer
771490833,Female,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,3,Yes,Blue,64.15,4254.1,Existing Customer
720756708,Female,1,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,2,Yes,Blue,90.25,3838.75,Existing Customer
779471883,Female,0,No,No,36,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,0,Yes,Blue,99.1,1426.4,Attrited Customer
711525033,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,3,Yes,Blue,69.5,1752.65,Existing Customer
712813458,Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2,Yes,Blue,80.65,633.3,Existing Customer
714374133,Female,1,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,3,Yes,Blue,74.85,4456.35,Attrited Customer
717891558,Male,1,No,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3,Yes,Blue,95.45,1752.55,Existing Customer
716632758,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,4,Yes,Blue,99.65,6311.2,Existing Customer
768563658,Male,1,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,3,Yes,Blue,108.45,7076.35,Existing Customer
711427458,Female,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,24.95,894.3,Existing Customer
714091983,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,2,Yes,Blue,107.5,7853.7,Existing Customer
787584108,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,4,Yes,Blue,100.5,4707.1,Existing Customer
712030833,Male,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3,Yes,Silver,89.9,5450.7,Attrited Customer
711481533,Male,0,Yes,No,20,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,3,No,Blue,42.1,2962,Existing Customer
710082708,Female,0,Yes,Yes,32,Yes,No,DSL,No,No,Yes,Yes,No,No,2,Yes,Blue,54.4,957.1,Existing Customer
708155733,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,2,No,Blue,94.4,857.25,Existing Customer
788979258,Female,0,No,No,42,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,3,Yes,Silver,75.3,244.1,Existing Customer
807986133,Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,3,Yes,Blue,78.9,3650.35,Existing Customer
788730933,Female,0,No,No,43,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,3,No,Blue,79.2,2497.2,Existing Customer
711314058,Female,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.15,930.9,Existing Customer
717975333,Male,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,3,Yes,Blue,79.85,887.35,Existing Customer
715971108,Male,0,No,No,36,Yes,No,DSL,No,No,No,Yes,No,No,2,No,Blue,49.05,49.05,Existing Customer
720096558,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,20.4,1090.65,Existing Customer
719580033,Male,1,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Blue,111.6,7099,Existing Customer
820582308,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,24.25,1424.6,Existing Customer
789973308,Female,0,No,Yes,38,Yes,No,DSL,Yes,No,No,Yes,No,Yes,2,Yes,Blue,64.5,177.4,Existing Customer
712876233,Female,1,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,0,No,Blue,110.5,6139.5,Existing Customer
804595158,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,2,No,Blue,55.65,2688.85,Existing Customer
714826758,Female,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,No,No,No,No,3,No,Blue,54.65,482.25,Existing Customer
779058108,Male,1,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,3,Yes,Blue,74.75,2111.3,Existing Customer
710790258,Female,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,25.9,1216.6,Existing Customer
715623483,Female,0,No,Yes,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,0,Yes,Blue,79.35,79.35,Existing Customer
715156383,Female,0,Yes,Yes,35,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,1,No,Blue,50.55,565.35,Existing Customer
711013983,Female,0,Yes,No,35,Yes,No,Fiber optic,No,No,Yes,No,No,No,3,Yes,Blue,75.15,496.9,Attrited Customer
755420433,Female,0,No,No,31,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1,Yes,Blue,103.8,4327.5,Existing Customer
794543958,Female,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,Blue,20.15,973.35,Existing Customer
716396358,Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,2,Yes,Blue,99.3,918.75,Existing Customer
715398033,Female,0,Yes,No,38,Yes,No,DSL,Yes,No,No,No,Yes,No,0,Yes,Blue,62.15,2215.45,Existing Customer
711743883,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,20.65,1057,Existing Customer
719720058,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,19.95,927.1,Existing Customer
778992108,Male,0,Yes,No,52,No,No phone service,DSL,No,No,No,No,Yes,No,3,No,Blue,33.75,1009.25,Existing Customer
717539808,Male,0,Yes,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,2,No,Blue,82.05,2570.2,Existing Customer
714070758,Male,1,No,No,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,2,No,Blue,74.7,74.7,Existing Customer
714107958,Male,0,Yes,Yes,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,0,Yes,Blue,84,5714.25,Existing Customer
789140283,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,3,Yes,Blue,111.05,7107,Existing Customer
715550508,Male,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,Yes,Blue,100.9,7459.05,Existing Customer
719712633,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,3,Yes,Blue,78.95,927.35,Existing Customer
772629333,Male,0,Yes,Yes,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,2,Yes,Blue,66.85,4748.7,Existing Customer
720336708,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,21.05,113.85,Existing Customer
802013583,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Blue,21,1107.2,Existing Customer
711887583,Female,1,Yes,No,33,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,3,Yes,Blue,98.5,2514.5,Attrited Customer
714778833,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.2,20.2,Existing Customer
713843283,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Silver,19.45,19.45,Existing Customer
779155158,Male,0,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,0,No,Blue,95,3605.6,Existing Customer
721091583,Female,1,Yes,No,36,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,2,No,Blue,45.55,3027.25,Existing Customer
713572683,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,0,Yes,Blue,110,7611.85,Existing Customer
716657058,Male,0,No,No,36,No,No phone service,DSL,No,No,No,No,No,No,3,No,Blue,24.3,100.2,Existing Customer
779509983,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,2,Yes,Blue,104.15,7303.05,Existing Customer
717929133,Female,0,No,No,35,No,No phone service,DSL,Yes,No,No,No,No,No,0,No,Blue,30.15,927.65,Existing Customer
808284783,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,2,No,Blue,94.35,3921.3,Existing Customer
708476808,Male,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Blue,19.4,1363.25,Existing Customer
710916408,Male,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,4,Yes,Blue,96.75,5238.9,Existing Customer
708492558,Female,0,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,No,No,3,No,Blue,57.95,3042.25,Existing Customer
799825758,Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,3,Yes,Blue,91.65,3954.1,Existing Customer
718619883,Female,1,Yes,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,76.5,2868.15,Existing Customer
711844758,Female,0,Yes,Yes,36,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,0,Yes,Blue,54.6,3423.5,Existing Customer
714798783,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,2,No,Blue,89.85,248.4,Existing Customer
826762908,Female,0,No,No,41,No,No phone service,DSL,Yes,No,No,No,No,No,3,No,Blue,31.05,1126.35,Existing Customer
771894558,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,2,Yes,Blue,100.25,1064.65,Existing Customer
721074183,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.65,835.15,Existing Customer
715259583,Male,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,0,Yes,Blue,85.2,2151.6,Existing Customer
718414008,Female,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,2,Yes,Blue,99.8,5515.45,Existing Customer
719666283,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.7,112.75,Existing Customer
714877233,Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,74.4,229.55,Existing Customer
785387883,Female,0,Yes,Yes,36,Yes,No,DSL,Yes,No,No,No,No,No,2,No,Blue,50.7,350.35,Existing Customer
771075258,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Silver,20.85,62.9,Existing Customer
711318033,Male,0,No,No,46,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,3,Yes,Blue,88.95,3027.65,Existing Customer
783554958,Female,1,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4,Yes,Blue,78.05,2135.5,Existing Customer
720201033,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,Blue,23.55,1723.95,Attrited Customer
718039683,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Blue,19.75,19.75,Existing Customer
710806083,Male,1,No,No,36,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,2,Yes,Silver,56.45,3985.35,Existing Customer
714752208,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0,Yes,Blue,85.95,1215.65,Existing Customer
822063408,Female,0,Yes,Yes,36,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,3,Yes,Blue,58.6,1502.65,Existing Customer
714490308,Male,0,No,No,27,Yes,No,DSL,No,No,No,Yes,No,No,2,No,Blue,50.55,3260.1,Existing Customer
713356833,Male,0,No,No,38,No,No phone service,DSL,No,No,No,No,No,Yes,3,Yes,Blue,35.45,35.45,Existing Customer
711402333,Male,0,No,No,42,Yes,No,DSL,No,No,No,No,No,No,3,No,Blue,44.35,81.25,Existing Customer
708296883,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,25.7,1188.2,Existing Customer
719154483,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,No,No,No,No,3,Yes,Blue,75,1778.5,Existing Customer
717721458,Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,20.2,1277.75,Existing Customer
711112683,Male,0,No,Yes,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,Yes,Blue,19.6,1170.55,Existing Customer
715674483,Female,1,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,70.45,70.45,Existing Customer
789322833,Female,1,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,Blue,88.05,6425.65,Attrited Customer
789968058,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,3,No,Blue,71.15,563.65,Existing Customer
709919283,Female,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3,Yes,Blue,101.05,5971.25,Existing Customer
718744008,Male,0,No,No,28,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,0,Yes,Blue,84.3,5289.05,Existing Customer
767712558,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,23.95,1756.2,Attrited Customer
712950783,Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,3,Yes,Blue,99.05,6416.7,Attrited Customer
716104983,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,19.6,61.35,Existing Customer
818839983,Male,0,No,No,47,Yes,No,DSL,No,No,No,No,No,No,3,Yes,Blue,45.65,45.65,Existing Customer
772288758,Male,0,No,Yes,36,Yes,No,DSL,No,Yes,Yes,No,Yes,No,3,No,Blue,64.5,1929.95,Existing Customer
712350858,Male,0,Yes,Yes,38,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,3,Yes,Blue,69.5,1071.4,Existing Customer
711009708,Female,0,Yes,Yes,38,Yes,No,DSL,No,No,No,Yes,Yes,Yes,3,Yes,Blue,68.55,564.35,Existing Customer
712720158,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,2,No,Blue,95,655.5,Existing Customer
712215258,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,1,Yes,Silver,108.15,7930.55,Existing Customer
773827008,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Blue,86.1,5215.25,Existing Customer
795232683,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,19.7,113.5,Existing Customer
713786508,Female,0,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Yes,Blue,80.9,1152.8,Existing Customer
713539833,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,3,Yes,Blue,84.15,1821.95,Existing Customer
712454058,Male,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.15,419.9,Existing Customer
718759833,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,No,Yes,No,0,No,Silver,64.25,1024,Existing Customer
718803333,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,25.7,251.6,Existing Customer
720253908,Female,0,No,Yes,33,Yes,No,DSL,Yes,Yes,No,No,No,No,3,Yes,Blue,56,764.55,Existing Customer
714133158,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,2,No,Blue,82.4,1592.35,Existing Customer
713187033,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,No,No,3,Yes,Blue,69.7,135.2,Existing Customer
714791208,Male,0,No,No,45,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,3,Yes,Blue,73.9,3958.25,Existing Customer
772426383,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Blue,20.6,233.9,Existing Customer
710975883,Male,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,3,No,Blue,19.9,1363.45,Existing Customer
714264408,Female,0,No,No,36,Yes,No,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,70.9,273,Existing Customer
715827858,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Blue,89.05,6254.45,Existing Customer
713741358,Male,1,Yes,No,42,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,2,Yes,Blue,45.3,2651.2,Attrited Customer
709531908,Female,0,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,20.4,321.4,Existing Customer
716493408,Male,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,0,Yes,Blue,84.25,3539.25,Existing Customer
714141108,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3,Yes,Blue,104.4,242.8,Existing Customer
708953883,Male,0,Yes,No,34,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,1,No,Blue,81.95,1181.75,Attrited Customer
712608783,Female,0,Yes,No,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3,Yes,Silver,94.85,5000.2,Existing Customer
820353558,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Blue,20.55,654.55,Existing Customer
714964758,Female,0,Yes,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,No,Blue,24.7,780.2,Existing Customer
716264358,Female,1,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,2,Yes,Blue,74.45,1145.7,Existing Customer
717296808,Female,1,No,No,38,Yes,No,Fiber optic,Yes,No,No,No,No,No,1,No,Blue,76.45,503.6,Existing Customer
712977183,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,0,Yes,Silver,105.35,1559.25,Existing Customer
710829108,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Yes,Blue,20.55,1252,Existing Customer
779562633,Female,0,No,No,31,No,No phone service,DSL,No,Yes,No,No,No,No,3,No,Blue,29.95,29.95,Existing Customer
715315833,Female,0,No,No,47,Yes,No,DSL,No,No,No,No,No,No,1,No,Blue,45.3,45.3,Existing Customer
815500983,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,0,No,Blue,84.5,662.65,Existing Customer
719360583,Male,0,Yes,Yes,47,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,3,No,Blue,74.75,2453.3,Existing Customer
709701558,Female,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,0,Yes,Blue,79.25,1111.65,Existing Customer
721148358,Female,0,Yes,No,44,No,No phone service,DSL,No,No,No,No,No,No,1,Yes,Blue,24.8,24.8,Existing Customer
779862408,Male,0,No,No,34,Yes,No,DSL,No,Yes,No,No,No,No,2,Yes,Blue,51.8,1023.85,Existing Customer
812627208,Male,0,No,No,43,No,No phone service,DSL,No,No,No,Yes,No,No,1,No,Blue,30.4,82.15,Existing Customer
